City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,busselton,49,AU,1562272224,98,-33.64,115.35,48.99,27.07
1,namibe,0,AO,1562272224,76,-15.19,12.15,69.94,7.4
2,new norfolk,90,AU,1562272224,93,-42.78,147.06,39.99,5.82
3,ilinskaya,0,RU,1562272224,81,45.72,40.72,65.51,4.83
4,barrow,84,AR,1562272225,74,-38.31,-60.23,40.17,12.64
5,karak,0,JO,1562272225,53,31.18,35.7,75.2,9.17
6,crateus,27,BR,1562272030,56,-5.18,-40.68,80.04,4.94
7,bluff,100,AU,1562271926,81,-23.58,149.07,59.79,25.14
8,atuona,8,PF,1562272225,71,-9.8,-139.03,80.31,10.63
9,kutum,21,SD,1562272226,34,14.2,24.66,85.13,6.67
10,mataura,59,NZ,1562272226,95,-46.19,168.86,41.0,1.01
11,tiarei,75,PF,1562272226,53,-17.53,-149.33,77.0,12.75
12,rikitea,99,PF,1562272226,67,-23.12,-134.97,66.81,23.11
13,pierre,75,US,1562272227,73,44.37,-100.35,77.0,20.8
14,somerset,1,US,1562272054,33,41.77,-71.13,91.4,8.05
15,mar del plata,0,AR,1562271949,71,-46.43,-67.52,32.05,5.97
16,jumla,89,NP,1562272227,95,29.28,82.18,57.74,1.52
17,senno,26,RU,1562272228,62,57.76,27.95,55.4,8.95
18,hermanus,100,ZA,1562272228,98,-34.42,19.24,54.0,3.0
19,jamestown,0,AU,1562272213,76,-33.21,138.6,51.33,15.28
20,butaritari,0,KI,1562272228,69,3.07,172.79,84.02,7.09
21,cape town,90,ZA,1562272154,93,-33.93,18.42,57.0,8.05
22,sampit,33,ID,1562272229,97,-2.54,112.95,72.05,2.15
23,castro,40,CL,1562272229,70,-42.48,-73.76,48.2,2.24
24,alice springs,0,AU,1562272007,64,-23.7,133.88,39.2,5.82
25,shirpur,100,IN,1562272229,84,21.35,74.88,79.1,17.92
26,ancud,40,CL,1562272230,70,-41.87,-73.83,48.2,2.24
27,riyadh,0,SA,1562272230,8,24.63,46.72,95.0,6.93
28,xining,16,CN,1562272230,60,36.62,101.77,51.24,2.66
29,lat yao,100,TH,1562272231,85,15.75,99.79,76.1,4.47
30,darnah,0,LY,1562272231,88,32.77,22.64,76.28,18.88
31,ligayan,89,PH,1562272231,75,4.65,119.47,80.7,5.3
32,awbari,0,LY,1562272231,10,26.59,12.77,93.23,11.21
33,hobart,90,AU,1562272232,93,-42.88,147.33,39.99,5.82
34,bambous virieux,40,MU,1562272232,78,-20.34,57.76,71.6,6.93
35,rio grande,0,BR,1562272232,50,-32.03,-52.1,51.8,9.17
36,port alfred,42,ZA,1562272232,77,-33.59,26.89,59.0,4.0
37,punta arenas,75,CL,1562272233,81,-53.16,-70.91,35.6,11.41
38,huoqiu,40,CN,1562272233,90,32.34,116.27,71.58,2.73
39,bredasdorp,100,ZA,1562272233,93,-34.53,20.04,55.4,6.93
40,mende,0,FR,1562272234,50,44.52,3.5,77.0,2.24
41,lebu,20,ET,1562272234,87,8.96,38.73,57.2,3.36
42,doorn,90,NL,1562272234,55,52.03,5.35,66.99,2.24
43,mahebourg,40,MU,1562272235,78,-20.41,57.7,71.6,6.93
44,dikson,74,RU,1562272235,90,73.51,80.55,35.79,12.82
45,saint-philippe,1,CA,1562272235,38,45.36,-73.48,93.2,13.87
46,husavik,68,CA,1562271975,20,50.56,-96.99,80.01,5.99
47,aklavik,90,CA,1562272236,82,68.22,-135.01,57.2,13.87
48,lata,64,IN,1562271996,91,30.78,78.62,46.92,0.89
49,kodinsk,0,RU,1562272236,51,58.6,99.18,56.98,2.01
50,albany,75,US,1562272040,38,42.65,-73.75,91.99,5.82
51,chuy,15,UY,1562272236,67,-33.69,-53.46,44.87,18.39
52,tyup,0,KG,1562272237,84,42.73,78.36,38.93,3.65
53,angoche,0,MZ,1562272237,90,-16.23,39.91,66.5,3.74
54,morondava,0,MG,1562272237,60,-20.3,44.28,77.45,11.83
55,presidente medici,0,BR,1562272238,57,-11.18,-61.9,87.11,3.83
56,neftekamsk,29,RU,1562272174,93,56.1,54.26,51.54,6.17
57,gurmatkal,100,IN,1562272238,80,16.87,77.4,77.36,12.75
58,leningradskiy,100,RU,1562272239,97,69.38,178.42,35.83,2.68
59,newcastle,40,AU,1562271965,87,-32.93,151.78,61.0,4.7
60,iqaluit,40,CA,1562272239,70,63.75,-68.52,48.2,18.34
61,santa vitoria do palmar,17,BR,1562272231,69,-33.52,-53.37,43.88,13.4
62,tiksi,100,RU,1562272240,89,71.64,128.87,36.75,5.08
63,talcahuano,0,CL,1562272240,62,-36.72,-73.12,55.4,12.75
64,ushuaia,0,AR,1562272240,86,-54.81,-68.31,28.4,5.14
65,athens,0,GR,1562272134,30,37.98,23.73,87.01,6.93
66,thompson,75,CA,1562272241,76,55.74,-97.86,55.4,14.99
67,tuktoyaktuk,90,CA,1562272241,87,69.44,-133.03,50.0,25.28
68,jammalamadugu,100,IN,1562272241,61,14.85,78.38,82.63,22.3
69,bathsheba,75,BB,1562272039,88,13.22,-59.52,78.8,23.04
70,kapaa,20,US,1562272242,69,22.08,-159.32,82.4,6.93
71,vaini,99,IN,1562272242,89,15.34,74.49,78.11,7.11
72,cherskiy,93,RU,1562272243,50,68.75,161.3,53.43,5.44
73,saint-pierre,1,FR,1562272243,52,48.95,4.24,73.4,8.05
74,willmar,1,US,1562272244,61,45.12,-95.04,82.4,5.82
75,portland,75,US,1562272244,48,43.66,-70.25,91.99,8.05
76,zarechnyy,90,RU,1562272244,96,60.99,40.4,52.01,7.58
77,rabo de peixe,75,PT,1562272244,88,37.8,-25.58,64.4,3.36
